HI_H3.03 | #SPLUSB430D8
HI_H3.45 | #SPLUSB0BAC9
HI_H3.47 | #SPLUS04999A
IB_0.002 | #SPLUS4F2691
IB_0.002a | #SPLUS4F2692
IB_0.004 | #SPLUS4F2693
IB_0.006 | #SPLUSB0BAA9
IB_0.009 | #SPLUSB0BAA0
IB_0.011 | #SPLUSB0BA9F
IB_0.013 | #SPLUS12002
IB_0.102 | #SPLUSB0BAA3
IB_0.103 | #SPLUSB0BAA1
IB_0.301 | #SPLUSB34D5E
IB_1.002 | #SPLUS4F2694
IB_1.002a | #SPLUS4F2695
IB_1.002b | #SPLUS4F2696
IB_1.003 | #SPLUS4F2697
IB_1.005 | #SPLUS4F2698
IB_1.006 | #SPLUS4F2699
IB_1.007 | #SPLUS4F269A
IB_1.009 | #SPLUSB0BAA8
IB_1.015 | #SPLUSB0BAA2
IB_1.301 | #SPLUSB34D63
IB_2.003 | #SPLUS4F269B
IB_2.004 | #SPLUS4F269C
IB_2.005 | #SPLUS4F269D
IB_2.006 | #SPLUS4F269E
IB_2.007 | #SPLUS4F26A0
IB_2.011 | #SPLUS175044
IB_3.003 | #SPLUS4F269F
IB_3.006 | #SPLUSB0BAA7
IB_M1 | #SPLUS66B437
IB_M2 | #SPLUSA35D41
IBR0.01 | #SPLUS062F79
IHX0.01 | ihx001
IHX1.05 | ihx105
IL_G.55 | #SPLUS97B410
IL_G.57 | #SPLUS18C899
IL_H0.76 | #SPLUSB0BAD7
IMC0.02 | #SPLUS69DD43
IN_A0.01 (PC room - Linux) | a001
IN_A0.02 (PC room - Zeeman) | a002
IN_A0.03 (PC room - Zeeman) | a003
IN_B0.52 (PC room - G.Hill) | b052
IN_R0.39 (PC room - Library) | r039
IN_R0.41 (PC room - Library) | r041
IN_S2.74 (PC room - Soc Sci) | s274
IN_WCR (PC room - Cafe Westwood) | cafeww
IR_B0.41/43 | #SPLUS80C32E
JX0.03 (Junction) | #SPLUS02FF2F
JX0.10a (Junction) | #SPLUS02FF30
JX0.10b (Junction - no furniture) | #SPLUSBF1335
JX2.02 (Junction) | #SPLUSD70042
JX2.03 (Junction) | #SPLUSD70043
L3 | l3
L4 | l4
L5 | l5
LA_S0.03 | #SPLUS659F8D
LA_S0.04 | #SPLUS659F8E
LA_S1.14 | #SPLUSAAD61A
LA_S2.12 | #SPLUSBA95F5
LF_ICLS | #SPLUS25B090
LIB1 | lib1
LIB2 | lib2
LN_FAB4.76 | #SPLUSC9D952
LN_H0.67 | #SPLUSCCA29A
LN_H0.72 | #SPLUSCC5D1A
LN_H0.78 | #SPLUSCCA29C
LN_H0.79 | #SPLUSA4F213
LN_H0.82 | #SPLUS066AC8
LN_H0.83 | #SPLUS066AC9
LN_H2.02 | #SPLUS11980
LN_H4.03 | #SPLUS16777255
LN_H4.43 | #SPLUS234881040
LN_H4.44 | #SPLUS234881041
LP_FAB1.01 | #SPLUSC9D93E
LP_FAB1.16 | #SPLUSC9D93D
MA_B1.01 | #SPLUSB0BAB3
MA_B3.01 | #SPLUS8DE85B
MA_B3.02 | #SPLUSB43090
MA_C1.06 | #SPLUS53E42D
MA_STREET | #SPLUSD19709
MAS_2.03 | #SPLUSC65BEA
MAS_2.04 | #SPLUSC65BEB
MAS_2.05 | #SPLUSC65BEC
MAS_2.06 | #SPLUSC65BE9
MAS_CONCOURSE | #SPLUS75BFE9
MB0.07 | mb007
MB0.08 | mb008
MD_MSBA1.30 | #SPLUS9A6D0B
MD_MSBB0.26 | #SPLUSB59414
MD_MTC0.04 | #SPLUSB34D4A
MD_MTC0.05 | #SPLUSB34D4B
MD_MTC0.06 | #SPLUSB34D4C
MD_MTC0.07 | #SPLUSB34D4D
MD_MTC0.08 | #SPLUSB34D4E
MD_MTC0.09 | #SPLUSB34D4F
MD_MTC0.10 | #SPLUSB34D50
MD_MTC0.11 | #SPLUSB34D51
MD_MTC1.04 | #SPLUSEFBF6E
MD_MTC1.05 | #SPLUSEFBF6F
MD_MTC1.06 | #SPLUSEFBF70
MD_MTC1.08 | #SPLUSB34D52
MD_MTC1.09 | #SPLUSB34D55
MD_MTC1.10 | #SPLUSB34D53
MD_MTC1.11 | #SPLUSB34D54
MD0.01 | md001
MO_M3.01 | #SPLUS066ACB
MS.01 | ms01
MS.02 | ms02
MS.03 | ms03
MS.04 | ms04
MS.05 | ms05
OC0.01 | oc001
OC0.02 | oc002
OC0.03 | oc003
OC0.04 | oc004
OC0.05 | oc005
OC1.01 | oc101
OC1.02 | oc102
OC1.03 | oc103
OC1.04 | oc104
OC1.05 | oc105
OC1.06 | oc106
OC1.07 | oc107
OC1.08 | oc108
OC1.09 | oc109
ONLINE | #SPLUS46149A
P5.21 | p521
PLT | plt
PO_B0.06 | #SPLUSB0BAD0
PO_S1.50 | #SPLUS469780
PS_H1.48 | h148
PS_H1.48a | #SPLUSB0BAD6
PS_H1.49a | #SPLUSA0E6E5
PS1.28 | ps128
PX_CONCOURSE | #SPLUS5346F1
PX_P3.45 | #SPLUS3075A2
PX_P5.23 | #SPLUS58D574
PX_P5.64 | #SPLUS8B273F
PX_PS0.17 | #SPLUS3D366B
PX_PS0.18 | #SPLUSB81B81
R0.03 | r003
R0.04 | r004
R0.12 | r012
R0.14 | r014
R0.21 | r021
R1.03 | r103
R1.04 | r104
R1.13 | r113
R1.15 | r115
R2.41 | r241
R3.25 | r325
R3.41 | r341
S0.08 | s008
S0.09 | s009
S0.10 | s010
S0.11 | s011
S0.13 | s013
S0.17 | s017
S0.18 | s018
S0.19 | s019
S0.20 | s020
S0.21 | s021
S0.28 | s028
S0.50 | s050
S0.52 | s052
S1.141 | s1141
S1.39 | s139
S1.66 | s166
S1.69 | s169
